sequence
19 37 63 81 28 32 60 10 95 62 12 90 62 44 42 77 54 31 39 60 19 37 63 81 28 32 60 10 95 62 12 90 62 44 42 77 54 31 39 60
81 82 76 48 88 88 76 30 99 94 16 35 92 55 28 56 30 17 10 86 81 82 76 48 88 88 76 30 99 94 16 35 92 55 28 56 30 17 10 86
87 41 79 73 46 89 38 34 74 24 26 70 82 96 63 68 31 3 46 89 87 41 79 73 46 89 38 34 74 24 26 70 82 96 63 68 31 3 46 89
43 26 88 91 97 61 10 68 66 22 17 11 63 43 13 63 46 50 57 33 43 26 88 91 97 61 10 68 66 22 17 11 63 43 13 63 46 50 57 33
44 40 55 80 26 29 4 27 22 11 1 0 94 83 46 37 21 78 14 13 44 40 55 80 26 29 4 27 22 11 1 0 94 83 46 37 21 78 14 13
96 64 73 14 67 68 85 86 40 26 66 98 79 73 73 4 79 72 42 52 96 64 73 14 67 68 85 86 40 26 66 98 79 73 73 4 79 72 42 52
31 65 83 26 14 73 13 84 41 91 55 21 31 85 69 35 5 42 20 11 31 65 83 26 14 73 13 84 41 91 55 21 31 85 69 35 5 42 20 11
9 16 75 81 86 20 8 14 75 57 21 15 11 67 50 35 15 63 59 10 9 16 75 81 86 20 8 14 75 57 21 15 11 67 50 35 15 63 59 10
18 1 61 70 91 15 66 94 62 51 62 41 26 60 11 63 44 75 78 72 18 1 61 70 91 15 66 94 62 51 62 41 26 60 11 63 44 75 78 72
6 88 52 63 97 31 79 59 29 87 3 30 28 36 68 95 61 89 58 70 6 88 52 63 97 31 79 59 29 87 3 30 28 36 68 95 61 89 58 70
12 71 47 22 72 3 17 88 46 69 15 48 67 50 98 15 60 79 96 81 12 71 47 22 72 3 17 88 46 69 15 48 67 50 98 15 60 79 96 81
93 96 82 44 52 89 31 99 16 9 88 52 19 46 46 94 60 89 22 43 93 96 82 44 52 89 31 99 16 9 88 52 19 46 46 94 60 89 22 43
69 7 45 33 51 91 57 80 52 5 99 42 24 77 80 61 41 73 69 92 69 7 45 33 51 91 57 80 52 5 99 42 24 77 80 61 41 73 69 92
2 18 18 1 2 18 32 37 27 4 75 25 57 46 91 44 66 3 15 53 2 18 18 1 2 18 32 37 27 4 75 25 57 46 91 44 66 3 15 53
57 11 90 53 21 40 32 82 97 74 79 22 31 3 59 86 6 98 95 52 57 11 90 53 21 40 32 82 97 74 79 22 31 3 59 86 6 98 95 52
33 27 80 1 73 32 8 42 64 37 19 57 24 3 27 13 68 89 25 24 33 27 80 1 73 32 8 42 64 37 19 57 24 3 27 13 68 89 25 24
36 73 72 87 17 35 73 70 99 76 58 74 20 25 10 57 18 13 58 39 36 73 72 87 17 35 73 70 99 76 58 74 20 25 10 57 18 13 58 39
42 18 86 25 99 1 91 5 53 68 57 45 88 20 0 63 99 8 90 63 42 18 86 25 99 1 91 5 53 68 57 45 88 20 0 63 99 8 90 63
59 2 8 5 39 37 77 97 60 1 8 31 46 27 31 5 46 32 48 50 59 2 8 5 39 37 77 97 60 1 8 31 46 27 31 5 46 32 48 50
62 18 72 60 37 15 74 85 47 50 91 19 99 82 62 37 98 8 69 42 62 18 72 60 37 15 74 85 47 50 91 19 99 82 62 37 98 8 69 42
37 67 23 34 39 70 55 74 9 77 17 94 34 7 28 47 69 0 77 29 37 67 23 34 39 70 55 74 9 77 17 94 34 7 28 47 69 0 77 29
48 25 66 98 30 45 63 3 99 48 14 87 66 41 63 29 52 12 82 77 48 25 66 98 30 45 63 3 99 48 14 87 66 41 63 29 52 12 82 77
76 48 40 36 95 18 94 40 19 27 85 87 87 60 72 45 38 40 74 23 76 48 40 36 95 18 94 40 19 27 85 87 87 60 72 45 38 40 74 23
46 24 12 63 43 57 5 75 88 36 20 33 70 64 59 33 78 62 47 2 46 24 12 63 43 57 5 75 88 36 20 33 70 64 59 33 78 62 47 2
21 48 22 0 53 60 49 20 33 23 26 63 46 91 13 39 86 81 66 65 21 48 22 0 53 60 49 20 33 23 26 63 46 91 13 39 86 81 66 65
4 51 24 4 22 21 40 86 99 61 91 12 67 58 47 40 42 84 83 5 4 51 24 4 22 21 40 86 99 61 91 12 67 58 47 40 42 84 83 5
84 73 35 52 90 67 99 65 78 73 7 11 68 97 24 20 60 72 63 54 84 73 35 52 90 67 99 65 78 73 7 11 68 97 24 20 60 72 63 54
46 96 67 55 71 58 23 2 64 50 67 6 53 17 10 44 45 47 43 99 46 96 67 55 71 58 23 2 64 50 67 6 53 17 10 44 45 47 43 99
20 26 81 16 55 45 6 16 40 74 86 77 95 32 27 53 92 38 9 45 20 26 81 16 55 45 6 16 40 74 86 77 95 32 27 53 92 38 9 45
93 16 71 9 39 67 73 45 14 87 58 51 90 57 75 43 92 55 4 67 93 16 71 9 39 67 73 45 14 87 58 51 90 57 75 43 92 55 4 67
17 7 8 12 17 99 47 87 14 77 10 35 18 70 94 44 32 40 90 96 17 7 8 12 17 99 47 87 14 77 10 35 18 70 94 44 32 40 90 96
91 70 4 16 3 65 60 66 0 23 5 2 96 43 87 5 94 82 1 5 91 70 4 16 3 65 60 66 0 23 5 2 96 43 87 5 94 82 1 5
0 16 55 96 25 43 34 28 67 60 48 41 96 5 57 42 44 51 60 69 0 16 55 96 25 43 34 28 67 60 48 41 96 5 57 42 44 51 60 69
0 83 95 74 69 41 32 18 92 64 90 99 90 57 90 38 40 89 87 52 0 83 95 74 69 41 32 18 92 64 90 99 90 57 90 38 40 89 87 52
34 8 83 51 86 84 45 35 19 25 37 27 65 38 64 47 93 63 69 7 34 8 83 51 86 84 45 35 19 25 37 27 65 38 64 47 93 63 69 7
6 43 52 61 70 66 9 73 54 22 4 88 51 91 4 83 53 73 98 99 6 43 52 61 70 66 9 73 54 22 4 88 51 91 4 83 53 73 98 99
34 78 5 52 21 45 72 31 5 36 66 73 48 90 12 65 77 68 78 0 34 78 5 52 21 45 72 31 5 36 66 73 48 90 12 65 77 68 78 0
78 4 88 37 47 80 57 62 28 83 44 22 94 62 39 47 41 24 58 28 78 4 88 37 47 80 57 62 28 83 44 22 94 62 39 47 41 24 58 28
89 16 91 75 94 55 58 36 92 23 39 87 61 38 83 99 51 43 70 96 89 16 91 75 94 55 58 36 92 23 39 87 61 38 83 99 51 43 70 96
13 68 66 10 77 45 22 49 55 19 1 70 79 27 87 16 48 20 33 20 13 68 66 10 77 45 22 49 55 19 1 70 79 27 87 16 48 20 33 20
6 41 29 39 82 76 81 29 18 0 38 99 7 10 4 7 25 49 34 67 6 41 29 39 82 76 81 29 18 0 38 99 7 10 4 7 25 49 34 67
75 7 82 1 40 31 31 72 55 21 34 78 70 63 6 63 58 25 41 12 75 7 82 1 40 31 31 72 55 21 34 78 70 63 6 63 58 25 41 12
79 78 6 37 11 83 18 99 2 84 67 63 39 90 25 21 59 5 49 35 79 78 6 37 11 83 18 99 2 84 67 63 39 90 25 21 59 5 49 35
70 89 73 70 8 79 34 99 45 28 57 99 67 92 67 34 91 64 94 44 70 89 73 70 8 79 34 99 45 28 57 99 67 92 67 34 91 64 94 44
62 30 36 85 22 22 3 41 72 91 0 80 49 37 91 61 2 72 56 97 62 30 36 85 22 22 3 41 72 91 0 80 49 37 91 61 2 72 56 97
46 34 98 15 60 15 44 27 41 80 7 80 18 19 65 63 85 58 53 19 46 34 98 15 60 15 44 27 41 80 7 80 18 19 65 63 85 58 53 19
27 36 28 78 53 83 57 45 29 15 44 55 20 50 50 35 47 45 66 95 27 36 28 78 53 83 57 45 29 15 44 55 20 50 50 35 47 45 66 95
43 23 70 88 95 85 73 63 82 11 20 48 30 12 36 87 6 4 65 33 43 23 70 88 95 85 73 63 82 11 20 48 30 12 36 87 6 4 65 33
5 99 57 90 66 92 93 59 0 92 3 57 48 31 26 48 98 69 50 81 5 99 57 90 66 92 93 59 0 92 3 57 48 31 26 48 98 69 50 81
58 15 48 6 69 24 41 39 68 65 17 66 78 27 24 67 27 3 68 61 58 15 48 6 69 24 41 39 68 65 17 66 78 27 24 67 27 3 68 61
92 26 31 30 84 81 63 92 29 57 64 39 57 51 69 50 97 74 65 29 92 26 31 30 84 81 63 92 29 57 64 39 57 51 69 50 97 74 65 29
38 36 13 60 51 86 58 19 7 3 63 33 83 70 15 10 6 43 7 92 38 36 13 60 51 86 58 19 7 3 63 33 83 70 15 10 6 43 7 92
79 88 6 5 48 46 70 61 34 55 15 79 96 54 53 9 89 33 16 6 79 88 6 5 48 46 70 61 34 55 15 79 96 54 53 9 89 33 16 6
43 17 27 24 99 41 74 1 85 3 98 29 91 62 26 17 89 88 45 11 43 17 27 24 99 41 74 1 85 3 98 29 91 62 26 17 89 88 45 11
25 7 66 63 61 33 96 59 24 96 75 50 74 32 87 70 87 9 93 0 25 7 66 63 61 33 96 59 24 96 75 50 74 32 87 70 87 9 93 0
70 43 66 11 39 34 23 14 16 12 51 43 11 70 13 50 96 63 29 23 70 43 66 11 39 34 23 14 16 12 51 43 11 70 13 50 96 63 29 23
56 64 43 67 97 48 26 96 17 9 10 1 4 24 8 95 88 87 36 44 56 64 43 67 97 48 26 96 17 9 10 1 4 24 8 95 88 87 36 44
57 34 48 1 43 57 97 57 16 41 48 57 50 80 47 15 40 20 96 95 57 34 48 1 43 57 97 57 16 41 48 57 50 80 47 15 40 20 96 95
52 15 34 62 98 44 22 31 94 68 31 77 86 38 2 53 66 40 28 74 52 15 34 62 98 44 22 31 94 68 31 77 86 38 2 53 66 40 28 74
21 20 46 27 86 54 55 38 59 38 85 24 74 8 26 91 45 95 27 50 21 20 46 27 86 54 55 38 59 38 85 24 74 8 26 91 45 95 27 50
13 0 2 83 5 42 68 81 78 86 53 4 73 37 95 65 1 83 7 8 13 0 2 83 5 42 68 81 78 86 53 4 73 37 95 65 1 83 7 8
68 79 44 14 17 37 58 67 72 32 37 76 75 12 22 75 90 24 75 23 68 79 44 14 17 37 58 67 72 32 37 76 75 12 22 75 90 24 75 23
